Category,#,Company,Contact Person,Role,Phone,Email,Notes
Sportswear & Activewear,1,HRX,Afsar Zaidi,Co-Founder & CEO,—,Via Exceed Entertainment,Sell through Myntra; contact via platform
Sportswear & Activewear,2,Cultsport / Cure.fit,Mukesh Bansal,Co-Founder,1800-572-6303,hello@cultsport.com,CEO: Naresh Krishnaswamy
Sportswear & Activewear,2,Cultsport / Cure.fit,Naresh Krishnaswamy,CEO,1800-572-6402,hello@cult.fit,Partner inquiries: partner.support@cult.fit
Sportswear & Activewear,3,Nivia Sports,Rajesh Kharabanda,MD & CEO,"+91 9115497521, (0181) 5057000",office.support@niviasports.com,"Directors: Rajesh & Sushil Kharabanda"
Sportswear & Activewear,3,Nivia Sports,Sushil Kharabanda,Director,+91 9216001900,office.support@niviasports.com,"Jalandhar, Punjab"
Sportswear & Activewear,4,Bliss Club,Minu Margeret,Founder & CEO,+91 99000 01845,hi@myblissclub.in,Bengaluru HQ
Sportswear & Activewear,5,Alcis Sports,Roshan Baid,Founder & MD,+91 95606 00637,info@alcissports.com,Noida operations
Sportswear & Activewear,6,Technosport,Sunil Jhunjhunwala,Co-Founder & MD,Via website,technosport.in/pages/contact-us,Tiruppur registered; Bengaluru operations
Sportswear & Activewear,7,Seven by MS Dhoni,Arun Pandey,Chairman & MD (Rhiti Group),—,Via rhitigroup.com,Co-founded with MS Dhoni
Sportswear & Activewear,8,Wildcraft,Gaurav Dublish,Co-Founder,76768 66666,info@wildcraft.com,Marketing Head: Aditya Gadiyar
Sportswear & Activewear,8,Wildcraft,Siddharth Sood,Co-Founder,—,thecircle@wildcraft.com,Bengaluru HQ
Sportswear & Activewear,8,Wildcraft,Aditya Gadiyar,Head of Marketing,—,info@wildcraft.com,Appointed Dec 2022
Athletic Footwear & Cleats,1,Campus Activewear,Hari Krishan Agarwal,Chairman & MD,+91-11-43272500,compliance@campusshoes.com,Listed: NSE: CAMPUS
Athletic Footwear & Cleats,1,Campus Activewear,Nikhil Aggarwal,CEO & Whole-Time Director,+91-11-43272500,investors@campusshoes.com,"D-1, Udyog Nagar, New Delhi"
Athletic Footwear & Cleats,1,Campus Activewear,Gaurav Sharma,CMO,—,Via campusactivewear.com,—
Athletic Footwear & Cleats,2,Relaxo Footwears (Sparx),Ramesh Kumar Dua,Chairman & MD,+91-11-46800600,rfl@relaxofootwear.com,Listed: NSE: RELAXO
Athletic Footwear & Cleats,2,Relaxo Footwears (Sparx),Manoj Lalwani,VP - Marketing,+91-11-46800700,cs@relaxofootwear.com,"Rohini, Delhi HQ"
Athletic Footwear & Cleats,3,Bata India,Gunjan Shah,MD & CEO,+91-33-22893031,contactus@bata.com,Listed: NSE: BATAINDIA
Athletic Footwear & Cleats,4,Liberty Shoes,Adesh Gupta,Chairman & MD,Via website,info@libertyshoes.com,Listed: NSE: LIBERTSHOE
Smart Wearables & Trackers,1,boAt (Imagine Marketing),Aman Gupta,Co-Founder & Director,—,Via boat-lifestyle.com,CEO: Vivek Gambhir
Smart Wearables & Trackers,1,boAt (Imagine Marketing),Sameer Mehta,Co-Founder & Executive Director,—,Via boat-lifestyle.com,Mumbai: Andheri Ghatkopar Link Rd
Smart Wearables & Trackers,1,boAt (Imagine Marketing),Vivek Gambhir,CEO,—,Via boat-lifestyle.com,Appointed 2024
Smart Wearables & Trackers,2,Noise (Nexxbase),Amit Khatri,Co-Founder,022-68056040,help@nexxbase.com,Gurugram HQ
Smart Wearables & Trackers,2,Noise (Nexxbase),Gaurav Khatri,Co-Founder,—,support@nexxbase.com,gonoise.com
Smart Wearables & Trackers,3,Fire-Boltt,Arnav Kishore,Co-Founder & CEO,022-69846666,infocare@boltt.com,fireboltt.com
Smart Wearables & Trackers,3,Fire-Boltt,Aayushi Kishore,Co-Founder,022-69856666,infocare@boltt.com,—
Smart Wearables & Trackers,4,Ultrahuman,Mohit Kumar,Founder & CEO,—,support@ultrahuman.com,Bengaluru: Bommanahalli
Smart Wearables & Trackers,5,GOQii,Vishal Gondal,Founder & CEO,—,Via goqii.com,Mumbai HQ
Licensed Merchandise & Retail,1,playR,Ravi Kukreja,Founder & Director,"022-40160383, +91 9599220517",info@playR.in,"Official IPL merch partner (CSK, SRH, LSG)"
Licensed Merchandise & Retail,2,The Souled Store,Vedang Patel,Co-Founder,—,support@thesouledstore.com,Mumbai: Lower Parel
Licensed Merchandise & Retail,2,The Souled Store,Aditya Sharma,Co-Founder,—,support@thesouledstore.com,—
Licensed Merchandise & Retail,3,FanCode,Harsh Jain,Founder (Dream Sports),—,Via fancode.com,Part of Dream Sports ecosystem
Sports Tech Companies,1,Dream11 (Dream Sports),Harsh Jain,Co-Founder & CEO,—,helpdesk@dream11.com,"ONE BKC, Mumbai"
Sports Tech Companies,1,Dream11 (Dream Sports),Bhavit Sheth,Co-Founder & COO,—,helpdesk@dream11.com,dreamsports.group
Sports Tech Companies,2,MPL,Sai Srinivas,Co-Founder & CEO,—,Via mpl.live,Bengaluru HQ
Sports Tech Companies,3,Playo,Sudarshan Gangrade,Co-Founder & CEO,—,Via playo.co,Bengaluru
Sports Tech Companies,4,SportVot,Siddhant Jain,Founder & CEO,—,Via sportvot.com,AI sports broadcasting
Sports Tech Companies,5,Sportskeeda,Porush Jain,Founder & CEO,—,Via sportskeeda.com,Gurugram
Data Analytics & AI,1,SportsMechanics,S. Ramakrishnan (Ramky),Founder & CEO,044-22502342,info@sportsmechanics.in,Chennai: Guindy
Data Analytics & AI,2,Stupa Sports Analytics,Megha Gambhir,Co-Founder & CEO,—,Via stupaanalytics.com,New Delhi HQ
Data Analytics & AI,3,Spektacom Technologies,Sathish Potluri,Co-Founder,—,Via spektacom.com,Smart cricket ball
Data Analytics & AI,4,CricHeroes,Abhishek Srivastava,Co-Founder & CEO,—,Via cricheroes.com,Ahmedabad; 30M+ users
AR/VR,1,iB Cricket (ProYuga),Vasantha Sai Sama,Co-Founder,—,company@proyuga.tech,Hyderabad
AR/VR,1,iB Cricket (ProYuga),Trivikrama Kothinti,Co-Founder,—,company@proyuga.tech,VR Cricket esports
